county,population,summer_2020_cases,summer_2020_doses_administered,summer_2020_pfizer_doses,summer_2020_moderna_doses,summer_2020_jj_doses,summer_2020_partially_vaccinated,summer_2020_at_least_one_dose,summer_2020_fully_vaccinated,summer_2020_partially_vaccinated_percent,summer_2020_at_least_one_dose_percent,summer_2020_fully_vaccinated_percent,summer_2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent,summer_2020_cases_per_100000
Santa Barbara,456373,5465,5,4,1,0,4,4,1,9.01e-06,9.01e-06,2.25e-06,0.095715588,0.6487154270000001,0.004687055,0.32812383,0.012059559,0.006414128000000001,0.05465
Madera,160089,3671,1,1,0,0,0,0,0,0.0,0.0,0.0,0.123558484,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588,0.03671
Placer,400434,2727,20,16,4,0,12,12,8,2.1e-05,3.16e-05,2.1e-05,0.093817787,0.454599207,0.003313709,0.521039288,0.016793996999999998,0.004253799,0.02727
Stanislaus,562303,12451,13,11,2,0,10,10,3,1.4800000000000002e-05,1.85e-05,5.56e-06,0.128844555,0.492389069,0.003451901,0.484499009,0.011602482,0.008057538000000001,0.12451
Sutter,105747,1468,1,0,1,0,1,1,0,1.04e-05,1.04e-05,0.0,0.116883117,0.407255417,0.003189194,0.571592721,0.012217428,0.00574524,0.01468
Tuolumne,52351,182,1,0,1,0,1,1,0,1.85e-05,1.85e-05,0.0,0.122156281,0.393909498,0.004768482,0.581721915,0.01443699,0.005163115,0.00182
Kings,156444,5224,0,0,0,0,0,0,0,0.0,0.0,0.0,0.124113475,0.426324069,0.002849912,0.5488246960000001,0.013770776,0.008230546,0.05224
Fresno,1032227,21078,8,6,2,0,6,6,2,5.11e-06,6.13e-06,2.04e-06,0.129931973,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691,0.21078
Napa,139652,1291,2,2,0,0,1,1,1,7.12e-06,7.12e-06,7.12e-06,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386,0.01291
Monterey,448732,7933,1,0,1,0,1,1,0,2.31e-06,2.31e-06,0.0,0.103967168,0.6951617529999999,0.004569218,0.282443586,0.011102774,0.0067226690000000006,0.07933
Lake,64871,502,0,0,0,0,0,0,0,0.0,0.0,0.0,0.109791217,0.518568652,0.0071845059999999985,0.455469943,0.012980702,0.005796196,0.00502
Modoc,9475,28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.07788162,0.264793921,0.003453834,0.71586461,0.008979968,0.0069076680000000005,0.00028
